###########################################################
#        Neutrino flux table for JHF 50GeV-PS              
# hbk2tbl.kumac File=results/nusk2011-2020.80m.hbk
# nupc06.kek.jp
# /export/nupc06/work1/kobayasi/50gev/beam/0101
# Mon Mar 19 07:28:52 JST 2001
# Takashi Kobayashi (takashi.kobayashi@kek.jp)
# unit is /bin/cm^2/10^21POT
###########################################################
#  Enu(GeV)     Fnue        Fnumu            Fnuebar     Fnumebar      
  0.050       0.61674E+04 0.47600E+05  0.0   0.31348E+03 0.56200E+05   0.0
  2.050       0.35737E+04 0.62016E+05  0.0   0.10708E+04 0.34288E+05   0.0
  2.150       0.27251E+04 0.51501E+05  0.0   0.56478E+03 0.34599E+05   0.0
  2.250       0.29944E+04 0.49169E+05  0.0   0.83183E+03 0.30978E+05   0.0
  2.350       0.27584E+04 0.56568E+05  0.0   0.69587E+03 0.23711E+05   0.0
  2.450       0.31532E+04 0.45635E+05  0.0   0.90411E+03 0.24866E+05   0.0
  2.550       0.30733E+04 0.48922E+05  0.0   0.75467E+03 0.26155E+05   0.0
  2.650       0.36033E+04 0.45121E+05  0.0   0.11981E+04 0.26378E+05   0.0
  2.750       0.28453E+04 0.45832E+05  0.0   0.95804E+03 0.29599E+05   0.0
  2.850       0.25244E+04 0.35143E+05  0.0   0.61010E+03 0.26110E+05   0.0
  2.950       0.26726E+04 0.37965E+05  0.0   0.58314E+03 0.27466E+05   0.0
  3.050       0.21821E+04 0.39740E+05  0.0   0.30261E+03 0.25666E+05   0.0
  3.150       0.23173E+04 0.38340E+05  0.0   0.55130E+03 0.26778E+05   0.0
  3.250       0.21469E+04 0.35407E+05  0.0   0.61010E+03 0.21843E+05   0.0
  3.350       0.22499E+04 0.30495E+05  0.0   0.57826E+03 0.25843E+05   0.0
  3.450       0.28180E+04 0.31918E+05  0.0   0.70935E+03 0.16155E+05   0.0
  3.550       0.15196E+04 0.29716E+05  0.0   0.21197E+03 0.17488E+05   0.0
  3.650       0.21873E+04 0.31695E+05  0.0   0.55618E+03 0.14866E+05   0.0
  3.750       0.18634E+04 0.36405E+05  0.0   0.40186E+03 0.12576E+05   0.0
  3.850       0.19484E+04 0.33028E+05  0.0   0.54642E+03 0.15333E+05   0.0
  3.950       0.14803E+04 0.30449E+05  0.0   0.33445E+03 0.11111E+05   0.0
  4.050       0.14399E+04 0.29893E+05  0.0   0.45578E+03 0.95329E+04   0.0
  4.150       0.11238E+04 0.28494E+05  0.0   0.12621E+03 0.95329E+04   0.0
  4.250       0.14815E+04 0.24207E+05  0.0   0.57826E+03 0.13333E+05   0.0
  4.350       0.12916E+04 0.28803E+05  0.0   0.40186E+03 0.82658E+04   0.0
  4.450       0.13320E+04 0.31912E+05  0.0   0.36141E+03 0.74658E+04   0.0
  4.550       0.12976E+04 0.27270E+05  0.0   0.58314E+03 0.86000E+04   0.0
  4.650       0.99012E+03 0.31469E+05  0.0   0.26217E+03 0.93105E+04   0.0
  4.750       0.12107E+04 0.28026E+05  0.0   0.33445E+03 0.80881E+04   0.0
  4.850       0.85532E+03 0.23649E+05  0.0   0.26217E+03 0.68434E+04   0.0
  4.950       0.98640E+03 0.29735E+05  0.0   0.44718E+03 0.50210E+04   0.0
  5.050       0.11347E+04 0.26270E+05  0.0   0.40674E+03 0.52881E+04   0.0
  5.150       0.10403E+04 0.25627E+05  0.0   0.40674E+03 0.35553E+04   0.0
  5.250       0.10636E+04 0.25494E+05  0.0   0.52434E+03 0.40210E+04   0.0
  5.350       0.85160E+03 0.22895E+05  0.0   0.42022E+03 0.35105E+04   0.0
  5.450       0.83324E+03 0.23960E+05  0.0   0.33445E+03 0.25553E+04   0.0
  5.550       0.75723E+03 0.27269E+05  0.0   0.42022E+03 0.35553E+04   0.0
  5.650       0.62243E+03 0.24337E+05  0.0   0.39325E+03 0.27105E+04   0.0
  5.750       0.44114E+03 0.24960E+05  0.0   0.18501E+03 0.46881E+04   0.0
  5.850       0.50854E+03 0.25115E+05  0.0   0.18501E+03 0.55329E+04   0.0
  5.950       0.30145E+03 0.23249E+05  0.0   0.18013E+03 0.48658E+04   0.0
  6.050       0.50482E+03 0.22472E+05  0.0   0.23521E+03 0.54658E+04   0.0
  6.150       0.37374E+03 0.17653E+05  0.0   0.14457E+03 0.68658E+04   0.0
  6.250       0.61755E+03 0.21007E+05  0.0   0.32097E+03 0.75105E+04   0.0
  6.350       0.39210E+03 0.19874E+05  0.0   0.24381E+03 0.81105E+04   0.0
  6.450       0.49506E+03 0.16743E+05  0.0   0.25241E+03 0.59553E+04   0.0
  6.550       0.61755E+03 0.14477E+05  0.0   0.36141E+03 0.33329E+04   0.0
  6.650       0.50110E+03 0.15988E+05  0.0   0.37977E+03 0.31986E+04   0.0
  6.750       0.23405E+03 0.11214E+05  0.0   0.15317E+03 0.21553E+04   0.0
  6.850       0.41046E+03 0.11192E+05  0.0   0.28913E+03 0.26881E+04   0.0
  6.950       0.60034E+03 0.12813E+05  0.0   0.47902E+03 0.24658E+04   0.0
  7.050       0.27937E+03 0.11104E+05  0.0   0.14457E+03 0.20881E+04   0.0
  7.150       0.47414E+03 0.99484E+04  0.0   0.43370E+03 0.26434E+04   0.0
  7.250       0.32469E+03 0.11571E+05  0.0   0.17641E+03 0.19776E+04   0.0
  7.350       0.33329E+03 0.12637E+05  0.0   0.14457E+03 0.19329E+04   0.0
  7.450       0.34305E+03 0.12746E+05  0.0   0.28913E+03 0.22658E+04   0.0
  7.550       0.16665E+03 0.10259E+05  0.0   0.11272E+03 0.21776E+04   0.0
  7.650       0.22545E+03 0.83931E+04  0.0   0.13108E+03 0.17553E+04   0.0
  7.750       0.21197E+03 0.64840E+04  0.0   0.13108E+03 0.21329E+04   0.0
  7.850       0.19849E+03 0.75274E+04  0.0   0.15805E+03 0.12881E+04   0.0
  7.950       0.13969E+03 0.66840E+04  0.0   0.72283E+02 0.14658E+04   0.0
  8.050       0.11272E+03 0.57288E+04  0.0   0.85763E+02 0.21315E+04   0.0
  8.150       0.16665E+03 0.34868E+04  0.0   0.15317E+03 0.73288E+03   0.0
  8.250       0.33445E+03 0.84155E+04  0.0   0.33445E+03 0.71050E+03   0.0
  8.350       0.17153E+03 0.68169E+04  0.0   0.14457E+03 0.88813E+03   0.0
  8.450       0.94364E+02 0.67735E+04  0.0   0.13481E+02 0.35525E+03   0.0
  8.550       0.24381E+03 0.67064E+04  0.0   0.18989E+03 0.35525E+03   0.0
  8.650       0.13969E+03 0.69288E+04  0.0   0.72283E+02 0.35525E+03   0.0
  8.750       0.11272E+03 0.60183E+04  0.0   0.85763E+02 0.71050E+03   0.0
  8.850       0.23893E+03 0.54406E+04  0.0   0.14457E+03 0.10658E+04   0.0
  8.950       0.11272E+03 0.37301E+04  0.0   0.58802E+02 0.17763E+03   0.0
  9.050       0.27077E+03 0.42630E+04  0.0   0.18989E+03 0.35525E+03   0.0
  9.150       0.16665E+03 0.40854E+04  0.0   0.99244E+02 0.71050E+03   0.0
  9.250       0.26961E+02 0.39078E+04  0.0   0.53923E+02 0.88813E+03   0.0
  9.350       0.85763E+02 0.35525E+04  0.0   0.99244E+02 0.12434E+04   0.0
  9.450       0.13969E+03 0.33749E+04  0.0   0.72283E+02 0.17763E+03   0.0
  9.550       0.11272E+03 0.19539E+04  0.0   0.58802E+02 0.71050E+03   0.0
  9.650       0.58802E+02 0.26644E+04  0.0   0.72283E+02 0.35525E+03   0.0
  9.750       0.26961E+02 0.15986E+04  0.0   0.00000E+00 0.17763E+03   0.0
  9.850       0.53923E+02 0.30196E+04  0.0   0.00000E+00 0.14210E+04   0.0
  9.950       0.11760E+03 0.26644E+04  0.0   0.11760E+03 0.71050E+03   0.0
 10.050       0.26961E+02 0.33749E+04  0.0   0.00000E+00 0.88813E+03   0.0
 10.150       0.72283E+02 0.17763E+04  0.0   0.58802E+02 0.17763E+03   0.0
 10.250       0.00000E+00 0.15986E+04  0.0   0.00000E+00 0.17763E+03   0.0
 10.350       0.53923E+02 0.24868E+04  0.0   0.26961E+02 0.53288E+03   0.0
 10.450       0.53923E+02 0.23091E+04  0.0   0.13481E+02 0.35525E+03   0.0
 10.550       0.99244E+02 0.17763E+04  0.0   0.58802E+02 0.17763E+03   0.0
 10.650       0.26961E+02 0.14210E+04  0.0   0.13481E+02 0.00000E+00   0.0
 10.750       0.13969E+03 0.28420E+04  0.0   0.72283E+02 0.53288E+03   0.0
 10.850       0.13481E+02 0.31973E+04  0.0   0.00000E+00 0.71050E+03   0.0
 10.950       0.53923E+02 0.17763E+04  0.0   0.00000E+00 0.35525E+03   0.0
 11.050       0.26961E+02 0.23091E+04  0.0   0.00000E+00 0.71050E+03   0.0
 11.150       0.26961E+02 0.17763E+04  0.0   0.00000E+00 0.71050E+03   0.0
 11.250       0.00000E+00 0.12434E+04  0.0   0.00000E+00 0.00000E+00   0.0
 11.350       0.13481E+02 0.12434E+04  0.0   0.26961E+02 0.00000E+00   0.0
 11.450       0.26961E+02 0.17763E+04  0.0   0.00000E+00 0.17763E+03   0.0
 11.550       0.58802E+02 0.12434E+04  0.0   0.85763E+02 0.00000E+00   0.0
 11.650       0.58802E+02 0.15986E+04  0.0   0.72283E+02 0.71050E+03   0.0
 11.750       0.00000E+00 0.53288E+03  0.0   0.00000E+00 0.00000E+00   0.0
 11.850       0.00000E+00 0.23091E+04  0.0   0.13481E+02 0.35525E+03   0.0
 11.950       0.00000E+00 0.88813E+03  0.0   0.00000E+00 0.17763E+03   0.0
 12.050       0.13481E+02 0.53288E+03  0.0   0.00000E+00 0.17763E+03   0.0
 12.150       0.58802E+02 0.71050E+03  0.0   0.58802E+02 0.12434E+04   0.0
 12.250       0.26961E+02 0.12434E+04  0.0   0.00000E+00 0.35525E+03   0.0
 12.350       0.00000E+00 0.71050E+03  0.0   0.00000E+00 0.88813E+03   0.0
 12.450       0.13481E+02 0.17763E+03  0.0   0.00000E+00 0.53288E+03   0.0
 12.550       0.00000E+00 0.15986E+04  0.0   0.00000E+00 0.35525E+03   0.0
 12.650       0.00000E+00 0.71050E+03  0.0   0.26961E+02 0.35525E+03   0.0
 12.750       0.00000E+00 0.10658E+04  0.0   0.13481E+02 0.00000E+00   0.0
 12.850       0.13481E+02 0.35525E+03  0.0   0.00000E+00 0.35525E+03   0.0
 12.950       0.00000E+00 0.53288E+03  0.0   0.00000E+00 0.00000E+00   0.0
 13.050       0.13481E+02 0.71050E+03  0.0   0.00000E+00 0.17763E+03   0.0
 13.150       0.13481E+02 0.53288E+03  0.0   0.00000E+00 0.17763E+03   0.0
 13.250       0.00000E+00 0.35525E+03  0.0   0.13481E+02 0.35525E+03   0.0
 13.350       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.35525E+03   0.0
 13.450       0.00000E+00 0.71050E+03  0.0   0.00000E+00 0.17763E+03   0.0
 13.550       0.58802E+02 0.12434E+04  0.0   0.58802E+02 0.17763E+03   0.0
 13.650       0.58802E+02 0.10658E+04  0.0   0.58802E+02 0.53288E+03   0.0
 13.750       0.00000E+00 0.88813E+03  0.0   0.00000E+00 0.00000E+00   0.0
 13.850       0.13481E+02 0.71050E+03  0.0   0.13481E+02 0.00000E+00   0.0
 13.950       0.00000E+00 0.10658E+04  0.0   0.00000E+00 0.00000E+00   0.0
 14.050       0.00000E+00 0.88813E+03  0.0   0.00000E+00 0.00000E+00   0.0
 14.150       0.00000E+00 0.53288E+03  0.0   0.00000E+00 0.71050E+03   0.0
 14.250       0.00000E+00 0.35525E+03  0.0   0.00000E+00 0.17763E+03   0.0
 14.350       0.00000E+00 0.71050E+03  0.0   0.26961E+02 0.35525E+03   0.0
 14.450       0.00000E+00 0.88813E+03  0.0   0.00000E+00 0.35525E+03   0.0
 14.550       0.72283E+02 0.53288E+03  0.0   0.58802E+02 0.00000E+00   0.0
 14.650       0.00000E+00 0.88813E+03  0.0   0.00000E+00 0.17763E+03   0.0
 14.750       0.00000E+00 0.53288E+03  0.0   0.00000E+00 0.53288E+03   0.0
 14.850       0.00000E+00 0.17763E+03  0.0   0.00000E+00 0.17763E+03   0.0
 14.950       0.00000E+00 0.35525E+03  0.0   0.00000E+00 0.53288E+03   0.0
 15.050       0.00000E+00 0.35525E+03  0.0   0.00000E+00 0.00000E+00   0.0
 15.150       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.17763E+03   0.0
 15.250       0.00000E+00 0.17763E+03  0.0   0.00000E+00 0.17763E+03   0.0
 15.350       0.00000E+00 0.17763E+03  0.0   0.00000E+00 0.00000E+00   0.0
 15.450       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 15.550       0.13481E+02 0.71050E+03  0.0   0.00000E+00 0.00000E+00   0.0
 15.650       0.00000E+00 0.35525E+03  0.0   0.00000E+00 0.00000E+00   0.0
 15.750       0.13481E+02 0.00000E+00  0.0   0.00000E+00 0.17763E+03   0.0
 15.850       0.00000E+00 0.35525E+03  0.0   0.00000E+00 0.17763E+03   0.0
 15.950       0.00000E+00 0.17763E+03  0.0   0.00000E+00 0.35525E+03   0.0
 16.050       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 16.150       0.00000E+00 0.35525E+03  0.0   0.00000E+00 0.00000E+00   0.0
 16.250       0.00000E+00 0.53288E+03  0.0   0.00000E+00 0.00000E+00   0.0
 16.350       0.00000E+00 0.35525E+03  0.0   0.00000E+00 0.00000E+00   0.0
 16.450       0.00000E+00 0.17763E+03  0.0   0.00000E+00 0.00000E+00   0.0
 16.550       0.00000E+00 0.17763E+03  0.0   0.00000E+00 0.17763E+03   0.0
 16.650       0.00000E+00 0.17763E+03  0.0   0.00000E+00 0.00000E+00   0.0
 16.750       0.00000E+00 0.17763E+03  0.0   0.00000E+00 0.00000E+00   0.0
 16.850       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 16.950       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 17.050       0.13481E+02 0.17763E+03  0.0   0.00000E+00 0.00000E+00   0.0
 17.150       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 17.250       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 17.350       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 17.450       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.17763E+03   0.0
 17.550       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.35525E+03   0.0
 17.650       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 17.750       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 17.850       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 17.950       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.35525E+03   0.0
 18.050       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.35525E+03   0.0
 18.150       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.35525E+03   0.0
 18.250       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.35525E+03   0.0
 18.350       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 18.450       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 18.550       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 18.650       0.13481E+02 0.00000E+00  0.0   0.00000E+00 0.35525E+03   0.0
 18.750       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.17763E+03   0.0
 18.850       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 18.950       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.17763E+03   0.0
 19.050       0.13481E+02 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 19.150       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 19.250       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 19.350       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 19.450       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 19.550       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 19.650       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 19.750       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 19.850       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 19.950       0.13481E+02 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 20.050       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 20.150       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 20.250       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 20.350       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 20.450       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 20.550       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 20.650       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 20.750       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 20.850       0.00000E+00 0.17763E+03  0.0   0.00000E+00 0.00000E+00   0.0
 20.950       0.00000E+00 0.17763E+03  0.0   0.00000E+00 0.00000E+00   0.0
 21.050       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 21.150       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 21.250       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 21.350       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 21.450       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 21.550       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 21.650       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 21.750       0.00000E+00 0.17763E+03  0.0   0.00000E+00 0.00000E+00   0.0
 21.850       0.00000E+00 0.17763E+03  0.0   0.00000E+00 0.00000E+00   0.0
 21.950       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 22.050       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 22.150       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 22.250       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 22.350       0.00000E+00 0.35525E+03  0.0   0.00000E+00 0.00000E+00   0.0
 22.450       0.00000E+00 0.17763E+03  0.0   0.00000E+00 0.00000E+00   0.0
 22.550       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 22.650       0.00000E+00 0.17763E+03  0.0   0.00000E+00 0.00000E+00   0.0
 22.750       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 22.850       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 22.950       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 23.050       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 23.150       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 23.250       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 23.350       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 23.450       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 23.550       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 23.650       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 23.750       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 23.850       0.00000E+00 0.17763E+03  0.0   0.00000E+00 0.00000E+00   0.0
 23.950       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 24.050       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 24.150       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 24.250       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 24.350       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 24.450       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 24.550       0.00000E+00 0.35525E+03  0.0   0.00000E+00 0.00000E+00   0.0
 24.650       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 24.750       0.00000E+00 0.53288E+03  0.0   0.00000E+00 0.00000E+00   0.0
 24.850       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 24.950       0.00000E+00 0.17763E+03  0.0   0.00000E+00 0.00000E+00   0.0
 25.050       0.00000E+00 0.17763E+03  0.0   0.00000E+00 0.00000E+00   0.0
 25.150       0.00000E+00 0.53288E+03  0.0   0.00000E+00 0.00000E+00   0.0
 25.250       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 25.350       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 25.450       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 25.550       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 25.650       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 25.750       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 25.850       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 25.950       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 26.050       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 26.150       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 26.250       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 26.350       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 26.450       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 26.550       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 26.650       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 26.750       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 26.850       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 26.950       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 27.050       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 27.150       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 27.250       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 27.350       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 27.450       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 27.550       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 27.650       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 27.750       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 27.850       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 27.950       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 28.050       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 28.150       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 28.250       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 28.350       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 28.450       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 28.550       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 28.650       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 28.750       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 28.850       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 28.950       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 29.050       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 29.150       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 29.250       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 29.350       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 29.450       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 29.550       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 29.650       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 29.750       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 29.850       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
 29.950       0.00000E+00 0.00000E+00  0.0   0.00000E+00 0.00000E+00   0.0
